name,year,latitude,longitude,city,region,zipCode,cuisine,price,url,star(s)
Baumé,2019,37.4285,-122.14272,South San Francisco,United States,94306,Contemporary,$$$$,https://guide.michelin.com/us/en/california/south-san-francisco/restaurant/baume,2
Commis,2019,37.82476,-122.25505,San Francisco,United States,94601,Contemporary,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/commis,2
Californios,2019,37.75555,-122.417145,San Francisco,United States,94110,Mexican,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/californios,2
Lazy Bear,2019,37.760204,-122.41969,San Francisco,United States,94110,Contemporary,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/lazy-bear,2
Saison,2019,37.76327,-122.41543,San Francisco,United States,94107,Californian,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/saison,2
Campton Place,2019,37.78923,-122.40665,San Francisco,United States,94108,Indian,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/campton-place,2
Coi,2019,37.79812,-122.40331,San Francisco,United States,94133,Contemporary,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/coi,2
Acquerello,2019,37.79167,-122.42131,San Francisco,United States,94109,Italian,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/acquerello,2
Urasawa,2019,34.067352,-118.40067,Los Angeles,United States,90210,Japanese,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/urasawa,2
Sushi Ginza Onodera,2019,34.08238,-118.37654,Los Angeles,United States,,Japanese,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/sushi-ginza-onodera559850,2
Somni,2019,34.070095,-118.37649,Los Angeles,United States,90048,Contemporary,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/somni,2
Providence,2019,34.083523,-118.33019,Los Angeles,United States,90028,Seafood,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/providence,2
n/naka,2019,34.02526,-118.41206,Los Angeles,United States,90034,Contemporary,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/n-naka,2
Vespertine,2019,34.024204,-118.38166,Los Angeles,United States,90232,Contemporary,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/vespertine,2
Smyth,2019,41.885,-87.660736,Chicago,United States,60607,Contemporary,$$$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/smyth,2
Oriole,2019,41.886196,-87.64513,Chicago,United States,60661,Contemporary,$$$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/oriole,2
Acadia,2019,41.85904,-87.62562,Chicago,United States,60616,Contemporary,$$$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/acadia,2
L'Atelier de Joël Robuchon,2019,40.742905,-74.00769,New York,United States,,French,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/l-atelier-de-joel-robuchon562505,2
Jungsik,2019,40.718685,-74.00911,New York,United States,10013,Korean,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/jungsik,2
Atera,2019,40.716797,-74.00565,New York,United States,10013,Contemporary,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/atera,2
Jean-Georges,2019,40.76907,-73.98155,New York,United States,10023,Contemporary,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/jean-georges,2
Marea,2019,40.76749,-73.98114,New York,United States,10019,Seafood,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/marea,2
